"id"	"name"
"365"	"ENSG00000117713.18"	"ARID1A"
"366"	"ENSG00000060642.10"	"PIGV"
"367"	"ENSG00000204160.11"	"ZDHHC18"
"368"	"ENSG00000175793.11"	"SFN"
"369"	"ENSG00000142751.14"	"GPN2"
"370"	"ENSG00000198746.12"	"GPATCH3"
"371"	"ENSG00000090273.13"	"NUDC"
"372"	"ENSG00000131910.4"	"NR0B2"
"373"	"ENSG00000175707.8"	"KDF1"
"374"	"ENSG00000253368.3"	"TRNP1"
"375"	"ENSG00000158246.7"	"FAM46B"
"376"	"ENSG00000090020.10"	"SLC9A1"
"377"	"ENSG00000142784.15"	"WDTC1"
"378"	"ENSG00000186501.14"	"TMEM222"
"379"	"ENSG00000142765.17"	"SYTL1"
"380"	"ENSG00000142733.14"	"MAP3K6"
"381"	"ENSG00000142748.12"	"FCN3"
"382"	"ENSG00000174950.10"	"CD164L2"
"383"	"ENSG00000181773.6"	"GPR3"
"384"	"ENSG00000158195.10"	"WASF2"
"385"	"ENSG00000126705.13"	"AHDC1"
"386"	"ENSG00000000938.12"	"FGR"
"387"	"ENSG00000126709.14"	"IFI6"
"388"	"ENSG00000009780.15"	"FAM76A"
"389"	"ENSG00000117758.13"	"STX12"
"390"	"ENSG00000117751.17"	"PPP1R8"
"391"	"ENSG00000130775.15"	"THEMIS2"
"392"	"ENSG00000117748.9"	"RPA2"
"393"	"ENSG00000130768.14"	"SMPDL3B"
"394"	"ENSG00000158156.7"	"XKR8"
"395"	"ENSG00000158161.15"	"EYA3"
"396"	"ENSG00000169403.11"	"PTAFR"
"397"	"ENSG00000126698.10"	"DNAJC8"
"398"	"ENSG00000130770.17"	"ATPIF1"
"399"	"ENSG00000130766.4"	"SESN2"
"400"	"ENSG00000130772.13"	"MED18"
"401"	"ENSG00000204138.12"	"PHACTR4"
"402"	"ENSG00000180198.15"	"RCC1"
"403"	"ENSG00000180098.9"	"TRNAU1AP"
"404"	"ENSG00000120656.11"	"TAF12"
"405"	"ENSG00000188060.7"	"RAB42"
"406"	"ENSG00000162419.12"	"GMEB1"
"407"	"ENSG00000198492.15"	"YTHDF2"
"408"	"ENSG00000116329.10"	"OPRD1"
"409"	"ENSG00000159023.19"	"EPB41"
"410"	"ENSG00000253304.1"	"TMEM200B"
"411"	"ENSG00000116350.16"	"SRSF4"
"412"	"ENSG00000116353.15"	"MECR"
"413"	"ENSG00000060656.19"	"PTPRU"
"414"	"ENSG00000162510.5"	"MATN1"
"415"	"ENSG00000162511.7"	"LAPTM5"
"416"	"ENSG00000162512.15"	"SDC3"
"417"	"ENSG00000134644.15"	"PUM1"
"418"	"ENSG00000084628.9"	"NKAIN1"
"419"	"ENSG00000060688.12"	"SNRNP40"
"420"	"ENSG00000121766.15"	"ZCCHC17"
"421"	"ENSG00000121769.7"	"FABP3"
"422"	"ENSG00000168528.11"	"SERINC2"
"423"	"ENSG00000142910.15"	"TINAGL1"
"424"	"ENSG00000121764.11"	"HCRTR1"
"425"	"ENSG00000162517.12"	"PEF1"
"426"	"ENSG00000084636.17"	"COL16A1"
"427"	"ENSG00000121753.12"	"ADGRB2"
"428"	"ENSG00000134668.12"	"SPOCD1"
"429"	"ENSG00000184007.18"	"PTP4A2"
"430"	"ENSG00000121774.17"	"KHDRBS1"
"431"	"ENSG00000121775.17"	"TMEM39B"
"432"	"ENSG00000025800.13"	"KPNA6"
"433"	"ENSG00000084652.15"	"TXLNA"
"434"	"ENSG00000160050.14"	"CCDC28B"
"435"	"ENSG00000160051.11"	"IQCC"
"436"	"ENSG00000222046.2"	"DCDC2B"
"437"	"ENSG00000160055.19"	"TMEM234"
"438"	"ENSG00000084623.11"	"EIF3I"
"439"	"ENSG00000183615.5"	"FAM167B"
"440"	"ENSG00000182866.16"	"LCK"
"441"	"ENSG00000116478.11"	"HDAC1"
"442"	"ENSG00000175130.6"	"MARCKSL1"
"443"	"ENSG00000162526.6"	"TSSK3"
