id	name
ENSG00000270562.1	AC097634.1
ENSG00000242741.1	LINC02005
ENSG00000242516.1	LINC00960
ENSG00000242828.1	AC068756.1
ENSG00000239445.5	ST3GAL6-AS1
ENSG00000240476.1	LINC00973
ENSG00000256628.3	ZBTB11-AS1
ENSG00000243701.5	DUBR
ENSG00000279277.1	AC012020.1
ENSG00000271856.1	LINC01215
ENSG00000206532.2	AC117402.1
ENSG00000261488.1	AC128688.2
ENSG00000243081.2	AC092894.1
ENSG00000240057.5	AC078785.1
ENSG00000242659.1	AC108693.2
ENSG00000272662.1	AC073352.1
ENSG00000242622.1	AC092910.3
ENSG00000282950.1	AC063952.4
ENSG00000272758.5	AC083798.2
ENSG00000273033.2	LINC02035
ENSG00000273454.1	AC112503.2
ENSG00000239523.5	MYLK-AS1
ENSG00000284624.1	AC092902.5
ENSG00000272840.1	AC092902.3
ENSG00000241288.7	AC092902.2
ENSG00000248787.1	AC092903.2
ENSG00000282860.1	AC084035.1
ENSG00000244300.2	GATA2-AS1
ENSG00000261159.1	AC112484.4
ENSG00000231305.3	AC112484.2
ENSG00000273437.1	AC108673.3
ENSG00000206417.8	H1FX-AS1
ENSG00000271270.5	TMCC1-AS1
ENSG00000250643.1	AC083906.3
ENSG00000249846.6	LINC02021
ENSG00000261167.1	AC107027.3
ENSG00000243832.1	LINC02000
ENSG00000240006.1	LINC02004
ENSG00000240086.5	AC128689.1
ENSG00000239213.5	NCK1-AS1
ENSG00000280399.1	AC022497.1
ENSG00000248932.5	AC097103.2
ENSG00000261051.1	AC107021.2
ENSG00000240032.1	LNCSRLR
ENSG00000279320.1	AC069528.2
ENSG00000244468.1	AC093001.1
ENSG00000240541.2	TM4SF1-AS1
ENSG00000243885.1	AC108751.4
ENSG00000243550.2	LINC01214
ENSG00000240137.5	ERICH6-AS1
ENSG00000239941.1	AC108718.1
ENSG00000244268.1	AC117394.2
ENSG00000243926.1	TIPARP-AS1
ENSG00000240875.5	LINC00886
ENSG00000241770.1	AC104411.1
ENSG00000243176.5	AC092944.1
ENSG00000272087.1	AC080013.4
ENSG00000272440.1	AC080013.6
ENSG00000260572.1	AC069224.1
ENSG00000269888.1	AC112491.1
ENSG00000244128.5	LINC01322
ENSG00000270141.3	TERC
ENSG00000242578.1	AC073288.2
ENSG00000279673.1	AC092919.2
ENSG00000240497.2	AC092919.1
ENSG00000223387.6	LINC02068
ENSG00000203645.2	LINC00501
ENSG00000228221.5	LINC00578
ENSG00000228561.2	AC026355.1
ENSG00000237978.5	KCNMB2-AS1
ENSG00000260743.1	AC007823.1
ENSG00000273261.1	AC092953.2
ENSG00000273181.1	AC131235.4
ENSG00000272721.5	AC131235.3
ENSG00000272970.1	AC107294.2
ENSG00000273403.1	AC107294.3
ENSG00000263826.1	AC112907.3
ENSG00000228952.1	LINC02041
ENSG00000270959.1	LPP-AS2
ENSG00000223812.6	AC073365.1
ENSG00000229155.1	LINC02038
ENSG00000232874.1	AC080129.2
ENSG00000225742.5	LINC02036
ENSG00000214145.6	LINC00887
ENSG00000233058.1	LINC00884
ENSG00000244675.2	AC108676.1
ENSG00000231770.5	TMEM44-AS1
ENSG00000272707.1	AC046143.2
ENSG00000229178.1	AC233280.1
ENSG00000242086.8	LINC00969
ENSG00000223783.1	LINC01983
ENSG00000226155.1	AC124944.1
ENSG00000232065.1	LINC01063
ENSG00000272989.1	LINC02012
ENSG00000273308.1	AC024560.3
ENSG00000236833.1	AC024560.1
ENSG00000273375.1	AC055764.2
ENSG00000272885.1	AC092574.1
ENSG00000249592.5	AC139887.2
ENSG00000196810.4	CTBP1-AS2
ENSG00000272783.1	AC147067.2
ENSG00000244459.2	AC147067.1
ENSG00000270195.1	AC016773.1
ENSG00000249673.6	NOP14-AS1
ENSG00000261643.1	AL590235.1
ENSG00000216560.4	LINC00955
ENSG00000250986.1	AC141928.1
ENSG00000253917.4	AC226119.1
ENSG00000247708.7	STX18-AS1
ENSG00000251580.1	LINC02482
ENSG00000170846.16	AC093323.1
ENSG00000246526.2	LINC002481
ENSG00000279859.2	AC093323.2
ENSG00000251615.3	AC104825.2
ENSG00000261490.1	AC005674.2
ENSG00000246095.2	LINC01096
ENSG00000263327.6	TAPT1-AS1
ENSG00000251129.1	LINC02506
ENSG00000279386.1	AC021106.3
ENSG00000231160.9	KLF3-AS1
ENSG00000249685.1	AC079921.2
ENSG00000249348.1	UGDH-AS1
ENSG00000255458.5	AC108471.2
ENSG00000260296.1	AC095057.3
ENSG00000251350.1	LINC02475
ENSG00000260878.1	AC104072.1
ENSG00000259959.1	AC107068.1
ENSG00000272576.1	AC027271.1
ENSG00000248866.1	USP46-AS1
ENSG00000226950.6	DANCR
ENSG00000249700.8	SRD5A3-AS1
ENSG00000273257.1	AC069200.1
ENSG00000269921.1	AC068620.2
ENSG00000249413.2	AC116049.2
ENSG00000279464.1	AC096720.2
ENSG00000248049.6	UBA6-AS1
ENSG00000272626.1	AC021146.12
ENSG00000272986.1	AC009570.1
ENSG00000250220.1	AC053527.1
ENSG00000260265.1	LINC02562
ENSG00000251185.1	AC025244.1
ENSG00000250735.5	AC096759.2
ENSG00000251442.5	LINC01094
ENSG00000273156.1	AC124016.2
ENSG00000272677.1	AC124016.1
ENSG00000250057.1	AC114781.2
ENSG00000180769.8	WDFY3-AS2
ENSG00000249001.5	AC093895.1
ENSG00000248019.2	FAM13A-AS1
ENSG00000270720.1	AC104785.1
ENSG00000251095.6	AC097478.1
ENSG00000272777.1	AC019131.2
ENSG00000254531.1	FLJ20021
ENSG00000260651.1	AF213884.3
ENSG00000248740.5	LINC02428
ENSG00000251577.5	AC105460.2
ENSG00000250920.1	AC105460.1
ENSG00000251259.1	AC004069.1
ENSG00000250522.1	AC004066.2
ENSG00000247950.6	SEC24B-AS1
ENSG00000272795.1	AC126283.1
ENSG00000260526.1	AC109347.1
ENSG00000272567.1	AC109347.2
ENSG00000269893.6	SNHG8
ENSG00000260091.1	AC093752.3
ENSG00000251526.1	LINC02435
ENSG00000249464.5	LINC01091
ENSG00000251432.6	AC108062.1
ENSG00000273077.1	AC110609.1
ENSG00000273247.5	AC097376.2
ENSG00000273472.1	AC096733.2
ENSG00000248810.1	LINC02432
ENSG00000250326.1	AC104596.1
ENSG00000278943.1	AC079228.1
ENSG00000270265.1	AC104819.3
ENSG00000251611.1	AC079795.1
ENSG00000251603.1	AC092611.2
ENSG00000278978.1	AC092611.3
ENSG00000245954.6	LINC02273
ENSG00000268471.6	LINC02486
